date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:28:48	89968/89968	---M--	200	added ('OK')	text/html	date:Fri,%2002%20Dec%202016%2019:34:52%20GMT	http://kodesolution.website/html/html/health-beauty/medical/medizone-html/v2.0/demo/index-mp-layout1.html	D:/AptechSem3/Project/kodesolution/kodesolution.website/html/html/health-beauty/medical/medizone-html/v2.0/demo/index-mp-layout1.html	(from )
13:28:49	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2002%20Dec%202020%2006:24:41%20GMT	http://kodesolution.website/robots.txt		(from )
13:28:50	1565/1565	---M--	200	added ('OK')	image/png	date:Tue,%2026%20Apr%202016%2015:13:04%20GMT	http://kodesolution.website/html/html/health-beauty/medical/medizone-html/v2.0/demo/images/favicon.png	D:/AptechSem3/Project/kodesolution/kodesolution.website/html/html/health-beauty/medical/medizone-html/v2.0/demo/images/favicon.png	(from http://kodesolution.website/html/html/health-beauty/medical/medizone-html/v2.0/demo/index-mp-layout1.html)
13:28:50	1565/1565	---M--	200	added ('OK')	image/png	date:Tue,%2026%20Apr%202016%2015:13:00%20GMT	http://kodesolution.website/html/html/health-beauty/medical/medizone-html/v2.0/demo/images/apple-touch-icon.png	D:/AptechSem3/Project/kodesolution/kodesolution.website/html/html/health-beauty/medical/medizone-html/v2.0/demo/images/apple-touch-icon.png	(from http://kodesolution.website/html/html/health-beauty/medical/medizone-html/v2.0/demo/index-mp-layout1.html)
13:28:50	2317/2317	---M--	200	added ('OK')	image/png	date:Tue,%2026%20Apr%202016%2015:12:56%20GMT	http://kodesolution.website/html/html/health-beauty/medical/medizone-html/v2.0/demo/images/apple-touch-icon-72x72.png	D:/AptechSem3/Project/kodesolution/kodesolution.website/html/html/health-beauty/medical/medizone-html/v2.0/demo/images/apple-touch-icon-72x72.png	(from http://kodesolution.website/html/html/health-beauty/medical/medizone-html/v2.0/demo/index-mp-layout1.html)
13:28:51	3201/3201	---M--	200	added ('OK')	image/png	date:Tue,%2026%20Apr%202016%2015:12:50%20GMT	http://kodesolution.website/html/html/health-beauty/medical/medizone-html/v2.0/demo/images/apple-touch-icon-114x114.png	D:/AptechSem3/Project/kodesolution/kodesolution.website/html/html/health-beauty/medical/medizone-html/v2.0/demo/images/apple-touch-icon-114x114.png	(from http://kodesolution.website/html/html/health-beauty/medical/medizone-html/v2.0/demo/index-mp-layout1.html)
13:28:51	3763/3763	---M--	200	added ('OK')	image/png	date:Tue,%2026%20Apr%202016%2015:12:40%20GMT	http://kodesolution.website/html/html/health-beauty/medical/medizone-html/v2.0/demo/images/apple-touch-icon-144x144.png	D:/AptechSem3/Project/kodesolution/kodesolution.website/html/html/health-beauty/medical/medizone-html/v2.0/demo/images/apple-touch-icon-144x144.png	(from http://kodesolution.website/html/html/health-beauty/medical/medizone-html/v2.0/demo/index-mp-layout1.html)
13:28:52	121260/121260	---M--	200	added ('OK')	text/css	date:Tue,%2010%20May%202016%2016:32:28%20GMT	http://kodesolution.website/html/html/health-beauty/medical/medizone-html/v2.0/demo/css/bootstrap.min.css	D:/AptechSem3/Project/kodesolution/kodesolution.website/html/html/health-beauty/medical/medizone-html/v2.0/demo/css/bootstrap.min.css	(from http://kodesolution.website/html/html/health-beauty/medical/medizone-html/v2.0/demo/index-mp-layout1.html)
13:28:54	29273/29273	---M--	200	added ('OK')	text/css	date:Wed,%2023%20Mar%202016%2015:04:44%20GMT	http://kodesolution.website/html/html/health-beauty/medical/medizone-html/v2.0/demo/css/jquery-ui.min.css	D:/AptechSem3/Project/kodesolution/kodesolution.website/html/html/health-beauty/medical/medizone-html/v2.0/demo/css/jquery-ui.min.css	(from http://kodesolution.website/html/html/health-beauty/medical/medizone-html/v2.0/demo/index-mp-layout1.html)
13:28:55	88597/88597	---M--	200	added ('OK')	text/css	date:Sun,%2017%20Apr%202016%2010:47:14%20GMT	http://kodesolution.website/html/html/health-beauty/medical/medizone-html/v2.0/demo/css/animate.css	D:/AptechSem3/Project/kodesolution/kodesolution.website/html/html/health-beauty/medical/medizone-html/v2.0/demo/css/animate.css	(from http://kodesolution.website/html/html/health-beauty/medical/medizone-html/v2.0/demo/index-mp-layout1.html)
13:28:58	2300/2300	---M--	200	added ('OK')	text/css	date:Wed,%2023%20Mar%202016%2015:04:44%20GMT	http://kodesolution.website/html/html/health-beauty/medical/medizone-html/v2.0/demo/css/menuzord-skins/menuzord-boxed.css	D:/AptechSem3/Project/kodesolution/kodesolution.website/html/html/health-beauty/medical/medizone-html/v2.0/demo/css/menuzord-skins/menuzord-boxed.css	(from http://kodesolution.website/html/html/health-beauty/medical/medizone-html/v2.0/demo/index-mp-layout1.html)
13:28:59	256161/256161	---M--	200	added ('OK')	text/css	date:Tue,%2002%20Aug%202016%2014:00:34%20GMT	http://kodesolution.website/html/html/health-beauty/medical/medizone-html/v2.0/demo/css/css-plugin-collections.css	D:/AptechSem3/Project/kodesolution/kodesolution.website/html/html/health-beauty/medical/medizone-html/v2.0/demo/css/css-plugin-collections.css	(from http://kodesolution.website/html/html/health-beauty/medical/medizone-html/v2.0/demo/index-mp-layout1.html)
13:29:00	162461/162461	---M--	200	added ('OK')	text/css	date:Fri,%2002%20Dec%202016%2019:10:40%20GMT	http://kodesolution.website/html/html/health-beauty/medical/medizone-html/v2.0/demo/css/style-main.css	D:/AptechSem3/Project/kodesolution/kodesolution.website/html/html/health-beauty/medical/medizone-html/v2.0/demo/css/style-main.css	(from http://kodesolution.website/html/html/health-beauty/medical/medizone-html/v2.0/demo/index-mp-layout1.html)
13:29:01	60726/60726	---M--	200	added ('OK')	text/css	date:Fri,%2029%20Apr%202016%2003:14:54%20GMT	http://kodesolution.website/html/html/health-beauty/medical/medizone-html/v2.0/demo/css/preloader.css	D:/AptechSem3/Project/kodesolution/kodesolution.website/html/html/health-beauty/medical/medizone-html/v2.0/demo/css/preloader.css	(from http://kodesolution.website/html/html/health-beauty/medical/medizone-html/v2.0/demo/index-mp-layout1.html)
13:29:03	62859/62859	---M--	200	added ('OK')	text/css	date:Wed,%2023%20Mar%202016%2015:04:44%20GMT	http://kodesolution.website/html/html/health-beauty/medical/medizone-html/v2.0/demo/css/custom-bootstrap-margin-padding.css	D:/AptechSem3/Project/kodesolution/kodesolution.website/html/html/health-beauty/medical/medizone-html/v2.0/demo/css/custom-bootstrap-margin-padding.css	(from http://kodesolution.website/html/html/health-beauty/medical/medizone-html/v2.0/demo/index-mp-layout1.html)
13:29:05	1192/1192	---M--	200	added ('OK')	text/css	date:Sat,%2014%20May%202016%2016:14:00%20GMT	http://kodesolution.website/html/html/health-beauty/medical/medizone-html/v2.0/demo/css/responsive.css	D:/AptechSem3/Project/kodesolution/kodesolution.website/html/html/health-beauty/medical/medizone-html/v2.0/demo/css/responsive.css	(from http://kodesolution.website/html/html/health-beauty/medical/medizone-html/v2.0/demo/index-mp-layout1.html)
13:29:05	36724/36724	---M--	200	added ('OK')	text/css	date:Tue,%2016%20Feb%202016%2005:01:52%20GMT	http://kodesolution.website/html/html/health-beauty/medical/medizone-html/v2.0/demo/js/revolution-slider/css/settings.css	D:/AptechSem3/Project/kodesolution/kodesolution.website/html/html/health-beauty/medical/medizone-html/v2.0/demo/js/revolution-slider/css/settings.css	(from http://kodesolution.website/html/html/health-beauty/medical/medizone-html/v2.0/demo/index-mp-layout1.html)
13:29:07	120120/120120	---M--	200	added ('OK')	text/css	date:Sat,%2005%20Mar%202016%2004:22:56%20GMT	http://kodesolution.website/html/html/health-beauty/medical/medizone-html/v2.0/demo/js/revolution-slider/css/layers.css	D:/AptechSem3/Project/kodesolution/kodesolution.website/html/html/health-beauty/medical/medizone-html/v2.0/demo/js/revolution-slider/css/layers.css	(from http://kodesolution.website/html/html/health-beauty/medical/medizone-html/v2.0/demo/index-mp-layout1.html)
13:29:08	59567/59567	---M--	200	added ('OK')	text/css	date:Tue,%2027%20Oct%202015%2003:13:48%20GMT	http://kodesolution.website/html/html/health-beauty/medical/medizone-html/v2.0/demo/js/revolution-slider/css/navigation.css	D:/AptechSem3/Project/kodesolution/kodesolution.website/html/html/health-beauty/medical/medizone-html/v2.0/demo/js/revolution-slider/css/navigation.css	(from http://kodesolution.website/html/html/health-beauty/medical/medizone-html/v2.0/demo/index-mp-layout1.html)
13:29:10	22484/22484	---M--	200	added ('OK')	text/css	date:Fri,%2020%20May%202016%2010:09:48%20GMT	http://kodesolution.website/html/html/health-beauty/medical/medizone-html/v2.0/demo/css/colors/theme-skin-sky-blue.css	D:/AptechSem3/Project/kodesolution/kodesolution.website/html/html/health-beauty/medical/medizone-html/v2.0/demo/css/colors/theme-skin-sky-blue.css	(from http://kodesolution.website/html/html/health-beauty/medical/medizone-html/v2.0/demo/index-mp-layout1.html)
13:29:18	36868/36868	---M--	200	added ('OK')	application/javascript	date:Wed,%2025%20Nov%202015%2006:37:04%20GMT	http://kodesolution.website/html/html/health-beauty/medical/medizone-html/v2.0/demo/js/bootstrap.min.js	D:/AptechSem3/Project/kodesolution/kodesolution.website/html/html/health-beauty/medical/medizone-html/v2.0/demo/js/bootstrap.min.js	(from http://kodesolution.website/html/html/health-beauty/medical/medizone-html/v2.0/demo/index-mp-layout1.html)
13:29:22	85578/85578	---M--	200	added ('OK')	application/javascript	date:Wed,%2005%20Oct%202016%2017:15:52%20GMT	http://kodesolution.website/html/html/health-beauty/medical/medizone-html/v2.0/demo/js/jquery-2.2.4.min.js	D:/AptechSem3/Project/kodesolution/kodesolution.website/html/html/health-beauty/medical/medizone-html/v2.0/demo/js/jquery-2.2.4.min.js	(from http://kodesolution.website/html/html/health-beauty/medical/medizone-html/v2.0/demo/index-mp-layout1.html)
13:29:31	54917/54917	---M--	200	added ('OK')	application/javascript	date:Sat,%2026%20Mar%202016%2004:24:12%20GMT	http://kodesolution.website/html/html/health-beauty/medical/medizone-html/v2.0/demo/js/revolution-slider/js/jquery.themepunch.revolution.min.js	D:/AptechSem3/Project/kodesolution/kodesolution.website/html/html/health-beauty/medical/medizone-html/v2.0/demo/js/revolution-slider/js/jquery.themepunch.revolution.min.js	(from http://kodesolution.website/html/html/health-beauty/medical/medizone-html/v2.0/demo/index-mp-layout1.html)
13:29:33	2880/2880	---M--	200	added ('OK')	image/png	date:Tue,%2026%20Apr%202016%2002:45:50%20GMT	http://kodesolution.website/html/html/health-beauty/medical/medizone-html/v2.0/demo/images/logo-wide.png	D:/AptechSem3/Project/kodesolution/kodesolution.website/html/html/health-beauty/medical/medizone-html/v2.0/demo/images/logo-wide.png	(from http://kodesolution.website/html/html/health-beauty/medical/medizone-html/v2.0/demo/index-mp-layout1.html)
13:29:34	100180/100180	---M--	200	added ('OK')	text/html	date:Fri,%2002%20Dec%202016%2019:34:54%20GMT	http://kodesolution.website/html/html/health-beauty/medical/medizone-html/v2.0/demo/index-mp-layout2.html	D:/AptechSem3/Project/kodesolution/kodesolution.website/html/html/health-beauty/medical/medizone-html/v2.0/demo/index-mp-layout2.html	(from http://kodesolution.website/html/html/health-beauty/medical/medizone-html/v2.0/demo/index-mp-layout1.html)
